FAIL|dune|duneanalytics/dune-mcp
OK|claude-data-analysis|{"stars":352,"updated":"2026-03-29T04:06:05Z"}
OK|data-science-team|{"stars":20,"updated":"2026-03-27T19:09:55Z"}
OK|cc-connect|{"stars":3494,"updated":"2026-03-29T20:43:26Z"}
OK|wacli|{"stars":695,"updated":"2026-03-29T18:45:45Z"}
OK|claude-code-discord|{"stars":160,"updated":"2026-03-29T04:21:29Z"}
OK|anthropic-document-skills|{"stars":105681,"updated":"2026-03-29T22:20:01Z"}
OK|anthropic-canvas-design|{"stars":105681,"updated":"2026-03-29T22:20:01Z"}
OK|anthropic-web-artifacts|{"stars":105681,"updated":"2026-03-29T22:20:01Z"}
OK|anthropic-mcp-builder|{"stars":105681,"updated":"2026-03-29T22:20:01Z"}
OK|anthropic-webapp-testing|{"stars":105681,"updated":"2026-03-29T22:20:01Z"}
OK|sanity-toolkit|{"stars":105,"updated":"2026-03-29T00:05:45Z"}
OK|claude-legal|{"stars":10,"updated":"2026-03-25T10:45:52Z"}
OK|book-factory|{"stars":55,"updated":"2026-03-29T01:12:39Z"}
OK|web-scraper|{"stars":29,"updated":"2026-03-28T08:16:47Z"}
OK|claude-homeassistant|{"stars":326,"updated":"2026-03-29T04:25:15Z"}
OK|bybit-trading|{"stars":23,"updated":"2026-03-29T08:02:17Z"}
OK|anthropic-financial|{"stars":7073,"updated":"2026-03-29T22:13:06Z"}
OK|options-strategy|{"stars":63,"updated":"2026-03-29T15:31:32Z"}
OK|trail-of-bits|{"stars":4088,"updated":"2026-03-29T22:18:35Z"}
OK|transilience|{"stars":108,"updated":"2026-03-29T17:27:46Z"}
OK|stitch-design2code|{"stars":3517,"updated":"2026-03-29T22:22:52Z"}
OK|uiux-pro-max|{"stars":54178,"updated":"2026-03-29T22:23:32Z"}
OK|rn-expo-agent-system|{"stars":98,"updated":"2026-03-29T07:59:17Z"}
OK|better-auth|{"stars":162,"updated":"2026-03-29T07:46:31Z"}
OK|apollo-graphql|{"stars":43,"updated":"2026-03-29T09:40:05Z"}
OK|speakeasy-api|{"stars":9,"updated":"2026-03-29T14:49:31Z"}
OK|claude-scientific|{"stars":16642,"updated":"2026-03-29T22:10:09Z"}
OK|remotion-skills|{"stars":2460,"updated":"2026-03-29T22:15:34Z"}
OK|deapi-media|{"stars":12,"updated":"2026-03-11T08:20:35Z"}
OK|marketing-skills-kostja|{"stars":257,"updated":"2026-03-29T18:05:12Z"}
